"Description","Coverage [%]","# Peptides","Found in Sample: [S4] F4: Sample, w/o sm, w/o Rs, none","Found in Sample: [S10] F10: Sample, w/o sm, w/o Rs, none","Found in Sample: [S12] F12: Sample, w/o sm, w/o Rs, none","Found in Sample: [S14] F14: Sample, w/o sm, w/o Rs, none","Found in Sample: [S16] F16: Sample, w/o sm, w/o Rs, none","Found in Sample: [S24] F24: Sample, w/o sm, w/o Rs, none","Found in Sample: [S27] F27: Sample, w/o sm, w/o Rs, none","Found in Sample: [S28] F28: Sample, w/o sm, w/o Rs, none","Found in Sample: [S53] F53: Sample, w/o sm, w/o Rs, none","Found in Sample: [S38] F38: Sample, w/o sm, with Rs, heavy","Found in Sample: [S39] F39: Sample, w/o sm, with Rs, heavy","Found in Sample: [S40] F40: Sample, w/o sm, with Rs, heavy","Found in Sample: [S41] F41: Sample, w/o sm, with Rs, heavy","Found in Sample: [S42] F42: Sample, w/o sm, with Rs, heavy","Found in Sample: [S44] F44: Sample, w/o sm, with Rs, heavy","Found in Sample: [S47] F47: Sample, w/o sm, with Rs, heavy","Found in Sample: [S48] F48: Sample, w/o sm, with Rs, heavy","Found in Sample: [S49] F49: Sample, w/o sm, with Rs, heavy","Found in Sample: [S5] F5: Sample, w/o sm, with Rs, light","Found in Sample: [S7] F7: Sample, w/o sm, with Rs, light","Found in Sample: [S9] F9: Sample, w/o sm, with Rs, light","Found in Sample: [S11] F11: Sample, w/o sm, with Rs, light","Found in Sample: [S13] F13: Sample, w/o sm, with Rs, light","Found in Sample: [S17] F17: Sample, w/o sm, with Rs, light","Found in Sample: [S23] F23: Sample, w/o sm, with Rs, light","Found in Sample: [S26] F26: Sample, w/o sm, with Rs, light","Found in Sample: [S29] F29: Sample, w/o sm, with Rs, light","Found in Sample: [S6] F6: Sample, with sm, w/o Rs, none","Found in Sample: [S8] F8: Sample, with sm, w/o Rs, none","Found in Sample: [S19] F19: Sample, with sm, w/o Rs, none","Found in Sample: [S20] F20: Sample, with sm, w/o Rs, none","Found in Sample: [S21] F21: Sample, with sm, w/o Rs, none","Found in Sample: [S25] F25: Sample, with sm, w/o Rs, none","Found in Sample: [S31] F31: Sample, with sm, w/o Rs, none","Found in Sample: [S33] F33: Sample, with sm, w/o Rs, none","Found in Sample: [S54] F54: Sample, with sm, w/o Rs, none","Found in Sample: [S35] F35: Sample, with sm, with Rs, heavy","Found in Sample: [S36] F36: Sample, with sm, with Rs, heavy","Found in Sample: [S37] F37: Sample, with sm, with Rs, heavy","Found in Sample: [S43] F43: Sample, with sm, with Rs, heavy","Found in Sample: [S45] F45: Sample, with sm, with Rs, heavy","Found in Sample: [S46] F46: Sample, with sm, with Rs, heavy","Found in Sample: [S50] F50: Sample, with sm, with Rs, heavy","Found in Sample: [S51] F51: Sample, with sm, with Rs, heavy","Found in Sample: [S52] F52: Sample, with sm, with Rs, heavy","Found in Sample: [S1] F1: Sample, with sm, with Rs, light","Found in Sample: [S2] F2: Sample, with sm, with Rs, light","Found in Sample: [S3] F3: Sample, with sm, with Rs, light","Found in Sample: [S15] F15: Sample, with sm, with Rs, light","Found in Sample: [S18] F18: Sample, with sm, with Rs, light","Found in Sample: [S22] F22: Sample, with sm, with Rs, light","Found in Sample: [S30] F30: Sample, with sm, with Rs, light","Found in Sample: [S32] F32: Sample, with sm, with Rs, light","Found in Sample: [S34] F34: Sample, with sm, with Rs, light"
"swissprot: Stromal 70 kDa heat shock-related protein, chloroplastic OS=Pisum sativum  | original description: pep primary_assembly:Lsat_Salinas_v7:9:195799626:195802428:-1 gene:gene-LSAT_9X119760 transcript:rna-gnl|WGS:NBSK|LSAT_9X119760_mrna gene_biotype:protein_coding transcript_biotype:protein_coding",58,36,"High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","Peak Found","High","High"
"swissprot: Chaperonin 60 subunit beta 2, chloroplastic OS=Arabidopsis thaliana  | original description: pep primary_assembly:Lsat_Salinas_v7:5:261332874:261335503:-1 gene:gene-LSAT_5X134540 transcript:rna-gnl|WGS:NBSK|LSAT_5X134540_mrna gene_biotype:protein_coding transcript_biotype:protein_coding",70,39,"High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","Peak Found","High","High"
"original description: pep primary_assembly:Lsat_Salinas_v7:9:132607809:132610245:1 gene:gene-LSAT_9X84800 transcript:rna-gnl|WGS:NBSK|LSAT_9X84800_mrna gene_biotype:protein_coding transcript_biotype:protein_coding",68,47,"High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High"
"swissprot: Oxygen-evolving enhancer protein 1, chloroplastic OS=Helianthus annuus  | original description: pep primary_assembly:Lsat_Salinas_v7:4:360874737:360876200:-1 gene:gene-LSAT_4X179201 transcript:rna-gnl|WGS:NBSK|LSAT_4X179201_mrna gene_biotype:protein_coding transcript_biotype:protein_coding",60,22,"High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","Peak Found","High","High"
"swissprot: Heat shock cognate 70 kDa protein OS=Petunia hybrida  | original description: pep primary_assembly:Lsat_Salinas_v7:8:111121876:111124251:-1 gene:gene-LSAT_8X78100 transcript:rna-gnl|WGS:NBSK|LSAT_8X78100_mrna gene_biotype:protein_coding transcript_biotype:protein_coding",63,37,"High","High","High","High","High","High","High","High","High","High","High","High","Peak Found","High","Peak Found","High","High","High","High","High","High","Peak Found","Peak Found","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","Peak Found","High","High","Peak Found","High","High","High","High","High","High","High","High","High","Not Found","High","High"
"swissprot: Phosphoribulokinase, chloroplastic OS=Arabidopsis thaliana  | original description: pep primary_assembly:Lsat_Salinas_v7:6:22581304:22583300:1 gene:gene-LSAT_6X17740 transcript:rna-gnl|WGS:NBSK|LSAT_6X17740_mrna gene_biotype:protein_coding transcript_biotype:protein_coding",65,21,"High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","Peak Found","High","High"
"swissprot: ATP synthase subunit beta, mitochondrial OS=Nicotiana plumbaginifolia  | original description: pep primary_assembly:Lsat_Salinas_v7:4:22188841:22191718:1 gene:gene-LSAT_4X15480 transcript:rna-gnl|WGS:NBSK|LSAT_4X15480_mrna gene_biotype:protein_coding transcript_biotype:protein_coding",67,26,"High","High","High","High","High","High","High","High","Peak Found","Peak Found","High","Peak Found","High","High","High","High","Peak Found","High","High","Peak Found","High","High","Peak Found","High","High","High","High","Peak Found","High","High","High","High","High","High","High","High","High","High","High","Peak Found","Peak Found","High","High","High","High","High","High","High","High","High","High","Peak Found","High","High"
"swissprot: RuBisCO large subunit-binding protein subunit alpha, chloroplastic OS=Pisum sativum  | original description: pep primary_assembly:Lsat_Salinas_v7:1:76368651:76371435:-1 gene:gene-LSAT_1X63701 transcript:rna-gnl|WGS:NBSK|LSAT_1X63701_mrna gene_biotype:protein_coding transcript_biotype:protein_coding",62,31,"High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","Peak Found","High","High"
"swissprot: Heat shock 70 kDa protein 1 OS=Arabidopsis thaliana  | original description: pep primary_assembly:Lsat_Salinas_v7:9:25664742:25667641:1 gene:gene-LSAT_9X22920 transcript:rna-gnl|WGS:NBSK|LSAT_9X22920_mrna gene_biotype:protein_coding transcript_biotype:protein_coding",66,35,"High","High","High","High","High","High","High","High","High","Peak Found","High","High","High","Peak Found","Peak Found","High","Peak Found","High","High","High","High","High","High","High","High","High","High","Peak Found","High","High","High","High","High","High","High","High","High","High","Peak Found","Peak Found","High","Peak Found","High","High","Peak Found","High","High","High","High","High","High","Peak Found","Peak Found","High"
"swissprot: Elongation factor G-1, chloroplastic OS=Glycine max  | original description: pep primary_assembly:Lsat_Salinas_v7:6:150138805:150142971:1 gene:gene-LSAT_6X90700 transcript:rna-gnl|WGS:NBSK|LSAT_6X90700_mrna gene_biotype:protein_coding transcript_biotype:protein_coding description:Elongation factor G, chloroplastic [Source:Projected from Arabidopsis thaliana (AT1G62750) UniProtKB/Swiss-Prot;Acc:Q9SI75]",58,30,"High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","Peak Found","High","High"
"swissprot: ATP-dependent Clp protease ATP-binding subunit ClpA homolog CD4B, chloroplastic OS=Solanum lycopersicum  | original description: pep primary_assembly:Lsat_Salinas_v7:1:31639114:31643439:1 gene:gene-LSAT_1X27961 transcript:rna-gnl|WGS:NBSK|LSAT_1X27961_mrna gene_biotype:protein_coding transcript_biotype:protein_coding",52,40,"High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","Peak Found","High","High"
"swissprot: ATP synthase subunit beta, mitochondrial OS=Oryza sativa subsp. japonica  | original description: pep primary_assembly:Lsat_Salinas_v7:8:58039139:58041906:-1 gene:gene-LSAT_8X41680 transcript:rna-gnl|WGS:NBSK|LSAT_8X41680_mrna gene_biotype:protein_coding transcript_biotype:protein_coding",63,25,"Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","High","High","Not Found","High","Peak Found","High","Peak Found","Peak Found","Peak Found","High","Peak Found","Peak Found","Peak Found","Peak Found","High","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","High","High","Peak Found","Peak Found","High","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","Peak Found","High","High","High","High","Peak Found","High","Not Found","High","High"
"swissprot: Oxygen-evolving enhancer protein 1, chloroplastic OS=Helianthus annuus  | original description: pep primary_assembly:Lsat_Salinas_v7:2:164433577:164434934:-1 gene:gene-LSAT_2X87221 transcript:rna-gnl|WGS:NBSK|LSAT_2X87221_mrna gene_biotype:protein_coding transcript_biotype:protein_coding",63,22,"High","High","High","High","High","High","High","High","High","High","High","Peak Found","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","Peak Found","High","High"
"swissprot: Stromal 70 kDa heat shock-related protein, chloroplastic OS=Pisum sativum  | original description: pep primary_assembly:Lsat_Salinas_v7:5:223025473:223028553:-1 gene:gene-LSAT_5X104601 transcript:rna-gnl|WGS:NBSK|LSAT_5X104601_mrna gene_biotype:protein_coding transcript_biotype:protein_coding",50,36,"High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","Peak Found","High","High"
"swissprot: ATP synthase subunit alpha, chloroplastic OS=Lactuca sativa  | original description: pep primary_assembly:Lsat_Salinas_v7:7:91062610:91064136:1 gene:gene-LSAT_0X28780 transcript:rna-gnl|WGS:NBSK|LSAT_0X28780_mrna gene_biotype:protein_coding transcript_biotype:protein_coding gene_symbol:atpA description:ATP synthase CF1 alpha subunit [Source:NCBI gene (formerly Entrezgene);Acc:3772896]",55,23,"High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High"
"swissprot: Ribulose bisphosphate carboxylase/oxygenase activase 1, chloroplastic OS=Larrea tridentata  | original description: pep primary_assembly:Lsat_Salinas_v7:9:81738851:81741195:-1 gene:gene-LSAT_9X64940 transcript:rna-gnl|WGS:NBSK|LSAT_9X64940_mrna gene_biotype:protein_coding transcript_biotype:protein_coding",60,28,"High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","Peak Found","High","High"
"swissprot: Chloroplast stem-loop binding protein of 41 kDa b, chloroplastic OS=Arabidopsis thaliana  | original description: pep primary_assembly:Lsat_Salinas_v7:5:294629236:294631712:1 gene:gene-LSAT_5X157440 transcript:rna-gnl|WGS:NBSK|LSAT_5X157440_mrna gene_biotype:protein_coding transcript_biotype:protein_coding",62,24,"High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","Peak Found","High","High"
"swissprot: Dihydrolipoyl dehydrogenase 1, mitochondrial OS=Arabidopsis thaliana  | original description: pep primary_assembly:Lsat_Salinas_v7:1:46033619:46036313:1 gene:gene-LSAT_1X40281 transcript:rna-gnl|WGS:NBSK|LSAT_1X40281_mrna gene_biotype:protein_coding transcript_biotype:protein_coding",56,30,"High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","Peak Found","High","High"
"swissprot: Phospholipase D alpha 1 OS=Ricinus communis  | original description: pep primary_assembly:Lsat_Salinas_v7:1:38830971:38835023:-1 gene:gene-LSAT_1X33321 transcript:rna-gnl|WGS:NBSK|LSAT_1X33321_mrna gene_biotype:protein_coding transcript_biotype:protein_coding",49,32,"High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","Peak Found","High","High"
"swissprot: Malate dehydrogenase 1, mitochondrial OS=Arabidopsis thaliana  | original description: pep primary_assembly:Lsat_Salinas_v7:5:252211622:252213967:1 gene:gene-LSAT_5X127301 transcript:rna-gnl|WGS:NBSK|LSAT_5X127301_mrna gene_biotype:protein_coding transcript_biotype:protein_coding",72,16,"High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","Peak Found","High","High"
"swissprot: V-type proton ATPase catalytic subunit A OS=Daucus carota  | original description: pep primary_assembly:Lsat_Salinas_v7:5:266578868:266584172:1 gene:gene-LSAT_5X137221 transcript:rna-gnl|WGS:NBSK|LSAT_5X137221_mrna gene_biotype:protein_coding transcript_biotype:protein_coding",59,35,"High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","Peak Found","High","High"
"swissprot: Fructose-bisphosphate aldolase 5, cytosolic OS=Arabidopsis thaliana  | original description: pep primary_assembly:Lsat_Salinas_v7:7:192766978:192768473:-1 gene:gene-LSAT_7X116520 transcript:rna-gnl|WGS:NBSK|LSAT_7X116520_mrna gene_biotype:protein_coding transcript_biotype:protein_coding",78,23,"High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","Peak Found","High","High"
"swissprot: Glyceraldehyde-3-phosphate dehydrogenase, cytosolic OS=Antirrhinum majus  | original description: pep primary_assembly:Lsat_Salinas_v7:4:123482432:123484951:1 gene:gene-LSAT_4X77861 transcript:rna-gnl|WGS:NBSK|LSAT_4X77861_mrna gene_biotype:protein_coding transcript_biotype:protein_coding",83,27,"High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","Peak Found","High","High"
"swissprot: Presequence protease 2, chloroplastic/mitochondrial OS=Arabidopsis thaliana  | original description: pep primary_assembly:Lsat_Salinas_v7:5:238304338:238310033:-1 gene:gene-LSAT_5X112961 transcript:rna-gnl|WGS:NBSK|LSAT_5X112961_mrna gene_biotype:protein_coding transcript_biotype:protein_coding",41,37,"High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","Peak Found","High","High"
"swissprot: Ferredoxin--NADP reductase, leaf-type isozyme, chloroplastic OS=Nicotiana tabacum  | original description: pep primary_assembly:Lsat_Salinas_v7:3:97977917:97980873:-1 gene:gene-LSAT_3X73300 transcript:rna-gnl|WGS:NBSK|LSAT_3X73300_mrna gene_biotype:protein_coding transcript_biotype:protein_coding",56,22,"High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High"
"swissprot: Enolase 1 OS=Hevea brasiliensis  | original description: pep primary_assembly:Lsat_Salinas_v7:2:47124244:47128522:-1 gene:gene-LSAT_2X21500 transcript:rna-gnl|WGS:NBSK|LSAT_2X21500_mrna gene_biotype:protein_coding transcript_biotype:protein_coding",62,22,"High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","Peak Found","High","High"
"swissprot: Aconitate hydratase 3, mitochondrial OS=Arabidopsis thaliana  | original description: pep primary_assembly:Lsat_Salinas_v7:7:155438570:155445633:-1 gene:gene-LSAT_7X92181 transcript:rna-gnl|WGS:NBSK|LSAT_7X92181_mrna gene_biotype:protein_coding transcript_biotype:protein_coding description:Aconitate hydratase 3, mitochondrial [Source:Projected from Arabidopsis thaliana (AT2G05710) UniProtKB/Swiss-Prot;Acc:Q9SIB9]",38,28,"High","High","High","High","High","High","High","High","Peak Found","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","High","Peak Found","High","High"
